Title,No. of answers,No. of views,No. of votes,Users,Reputation,Time_stamp,Summary
how to visualise DAE as ODE on manifold,0,52,3,ordinary-differential-equations,131,2023,"In many papers and textbooks, there is always a brief comment that differential-algebraic equations (DAE) can be considered as a system of ordinary differential equation (ODE) on manifold. But then ..."
Largest number of disjoint subsets of certain cardinality in bipartite graph such that every vertex is matched,0,96,3,algorithms,63,2023,"Given a bipartite graph G=(V,E)G=(V,E), where VV is partitioned into AA and BB, how can I design an algorithm that runs in polynomial time, such that given a positive integer n∈Nn∈N, the ..."
Discrete joint probability of 2 random variables,0,28,1,information-theory,57,2023,"Formula for discrete joint probabilities:
H(X,Y)=−∑i=1n∑j=1mp(xi,yj)logp(xi,yj)H(X,Y)=−∑i=1n∑j=1mp(xi,yj)log⁡p(xi,yj)
I don't really see how the above formula works? How does it also ..."
How different is Principle of Superposition from Principle of Linear superposition? [closed],0,711,-2,physics,1,2023,The debate is that the two are the same. But are they really the same? PRINCIPLE OF SUPERPOSITION AND PRINCIPLE OF LINEAR SUPERPOSITION.
Proving that an Analytic Function with Real Values on a Closed Path is Constant [closed],0,78,-1,complex-analysis,51,2023,"I've been stuck on this question:""Let ΓΓ be a simple closed path, and DD be its interior. Let ff be analytic within DD and continuous on D¯¯¯¯D¯. If f(z)f(z) takes real values on $\..."
Global sections tensoring with different ideal sheaves,0,32,0,algebraic-geometry,703,2023,"Let XX be a nonsingular smooth projective variety of dimension nn. Let AA be an ample divisor and NN be an integer sufficiently large. Let YY be a closed subvariety of codimension≥2≥2, its ..."
Intuition while factorizing an equation,1,48,0,algebra-precalculus,91,2023,"I have the following expression to factorize: x4−15x2+36x4−15x2+36
One way to solve it is:
x4−15x2+36x4−15x2+36
x4−12x2−3x2+36x4−12x2−3x2+36
x2(x2−12)−3(x2−12)x2(x2−12)−3(x2−12)
(x2−12)(x2−3)(x2−12)(x2−3)
$(x-\sqrt{12})..."
Understanding the connection between the summations of reciprocals of quadratics and hyperbolic trigonometric functions,0,12,0,definite-integrals,147,2023,"While messing around with summations of the reciprocals of quadratics from n=0n=0 to ∞∞ on wolfie.
I made this discovery:
$$ \sum_{n=0}^{\infty}\frac{1}{(an)^2+b^2}=\frac{1}{2ab^2}(a+b\coth{\frac{..."
Compute the tensor product Z/726Z⊗ZZ[177]Z/726Z⊗ZZ[177],1,144,2,commutative-algebra,382,2023,"I am computing the cardinality of the tensor product Z/726Z⊗ZZ[177]Z/726Z⊗ZZ[177]. Following are my several attempts:

Let R=ZR=Z, I=726ZI=726Z ..."
"Number of triangles with sides in {1,…,n}{1,…,n}",0,48,1,permutations,83,2023,"Problem: How many triangles can be formed from a set of 66 rods of length 1,2,3,4,5,61,2,3,4,5,6 cm taken 33 at a time?
I managed to solve this problem, by applying both the triangle inequalities and testing ..."
Indefinite Integral of all even function =0=0?,2,458,8,integration,83,2023,"I am wondering what's wrong with the following decent-looking proof:
\begin{align*}
\int x^2 dx &= \int (-u)^2(-du)\quad\text{ Let } x=-u\\
&=-\int u^2 du\\
&=-\int x^2 dx \quad \text{..."
The criteria when fibre product irreducible,1,55,0,algebraic-geometry,550,2023,"All varieties are over algebraically closed field of characteristic zero and irreducible.
Let φ:X→S2φ:X→S2 be a morphism of varieties. Assume ψ:S1→S2ψ:S1→S2 is a morphism.

Is it ..."
What is the state of the art algorithm for diagonalizing real symmetric matrices?,0,35,0,linear-algebra,"1,577",2023,"There are many methods for diagonalizing matrices; probably the most widely used is the combination of household transformations and the QR algorithm.

Is there any superior method for diagonalizing ..."
Canonical bundle of cyclic covering,0,90,0,algebraic-geometry,31,2023,"Let YY be a complex manifold and 0≠f∈H0(Y,Ld)0≠f∈H0(Y,Ld), where d∈Z≥0d∈Z≥0 and LL is a holomorphic line bundle over YY. Then it gives a cyclic covering π:X→Yπ:X→Y, where $X\..."
what we can say about diagonal of A−1A−1if A is symmetric?,0,29,0,linear-algebra,372,2023,"Suppose we have a symmetric matrix A such that its diagonal elements are positive. What can we say about the diagonal elements of its inverse? Are also they positive?
My attempt:
We know the inverse ..."
"Prove that if f,g:S1→Xf,g:S1→X are homotopic maps, then the spaces formed from XX by attaching a disc using ff and using gg are homotopy equivalent [duplicate]",0,17,0,general-topology,364,2023,"Prove that if f,g:S1→Xf,g:S1→X are homotopic maps, then the spaces formed from XX by attaching a disc using ff and using gg are homotopy equivalent; in other words, X∪fD≃X∪gDX∪fD≃X∪gD.
I ..."
Inverse statement of the linear ODE question,1,73,2,ordinary-differential-equations,45,2023,"Based on this question:Show that: a) X−1(t)X−1(t) is bounded in [β,∞)[β,∞). b)No system solution approaches zero solution when t→∞.t→∞.
I am working on the following problem, which ..."
Product involving function of two dependent Gaussian random variables,2,52,1,statistics,"2,479",2023,"Suppose that I have two independent random variables g1,g2∼N(0,1)g1,g2∼N(0,1).
From these variables I construct a vector: g=(g1,g2)g=(g1,g2).
Also, I have a unit vector u=(u1,u2)u=(u1,u2).
It follows that the inner ..."
Polynomials approximate L2L2 function,1,97,1,real-analysis,111,2023,"Suppose (Ω,μ)(Ω,μ) is measurable space with μ(Ω)<∞μ(Ω)<∞, here ΩΩ is a compact subset of CC. f,g∈L2(Ω)f,g∈L2(Ω) with μ({x:f(x)=0})=0μ({x:f(x)=0})=0. I want to find polynomial $..."
Directional derivative with function composition,1,100,0,calculus,"1,616",2023,"Let f:Rd→R,  g:Rd×R→Rd with g(x,0)=x and suppose that for all x∈Rd both v(x):=∂tg(x,t)|t=0 ..."
Suggestions for a 2nd year multivariable calculus presentation [closed],0,24,-2,multivariable-calculus,1,2023,"Suggestions for a 2nd year multivariable calculus presentation? im kinda interested in real life applications of 2nd order odes ( other than spring systems , since ive already presented on it once ) , ..."
One definition of elementary sets,0,77,0,real-analysis,203,2023,"For a collection of measurable spaces (Ωi,Fi) for i∈A, where A can be infinite or even uncountable, the product σ-algebra ${{\mathcal F}_A := \prod_{i \in A}..."
Expected number of dimes,2,52,1,probability,335,2023,"My wallet has 2 nickels and 10 dimes. The coins are to be drawn out 1-by-1 and I'm to receive all the dimes that are drawn between the 2 nickels. What's the expectation?
My Approach:
Draw the sequence ..."
Question in Lemma 2.4.2 of Rick Durrett's Probability: Theory and Examples version 5,1,27,1,probability-theory,13,2023,"I was studying Durrett's proof of Strong Law of Large numbers and I got stuck while trying to understand the following Lemma:

Let X1,X2,… be pairwise independent identically distributed ..."
"u1,...,un∈V L.I.. Then for any v1,...,vn∈V, ∃ infinitely α s.t. u1+αv1,...,un+αvn L.I..",0,54,0,linear-algebra,282,2023,"Let V be a vector space over a field F and u1,...,un∈V are linearly independent. Prove that for any v1,...,vn∈V, u1+αv1,...,un+αvn are linearly ..."
enderton logic exercise 4.1.3. - How can I prove number theory is 'implicitly definable' in second order language,0,25,1,logic,23,2023,"From ""A Mathematical Introduction to Logic"" (Enderton) excise 4.1.3
Let ϕ be a formula in which only the n-place predicate variable X occurs free. Say that an n-ary relation R on |A| is ..."
"Discrete-Time Fourier Transform: Why are signals at frequencies near even multiples of π slowly varying, but quickly varying near odd multiples?",1,19,0,fourier-transform,27,2023,"In Signals & Systems: Second Edition by Alan V. Oppenheim and Alan S. Willsky with S. Hamid Nawab, on page 362, it is stated that (with referenced figure shown below):

Signals
at frequencies near ..."
"Automorphism groups of Z, Z[i], Z[ω]",0,36,0,ring-theory,35,2023,"I would like to know the automorphism groups of the rational integers Z, the Gaussian integers Z[i], and the Eisenstein integers Z[ω].
My question is, would $\text{..."
A question on exercise 10.6(b) in Munkres - Analysis on Manifolds,0,19,0,real-analysis,71,2023,"Let I=I1×⋯×In=[a1,b1]×⋯×[an,bn] be a n−rectangle. Let f: I⟶R be bounded and |f|≤M on I.
Let P=P1×⋯×Pn be ..."
Average probability of 0 determinant for integer matrix,1,85,1,linear-algebra,11,2023,"I'm new here. I am not a student of math, so my analytical skills are quite weak. However, I have been thinking about this question for a while:
Given a 3x3 matrix whose elements are selected ..."
Galois cohomology of quadratic extension [closed],0,64,-1,abstract-algebra,"5,142",2023,"Let K be a field of characteristic 0.
Let L/K be a degree 2 extension.
Let M be a Gal(L/K)-module.
Is Galois cohomology Hi(Gal(L/K),M), i=0,1,2,…, always a 2-group, that ..."
Basic Analysis Jiri Lebl Exercises 1.1.6 and 1.1.12,0,36,1,real-analysis,11,2023,"Firstly, I realise that my question has already been answered a few times, however I just wanted to verify the proof that I came up with for Exercise 1.1.6 in Lebl's Basic Analysis I:
Let S be an ..."
Conjecture for Integrals of the Form ∫10lnn(1−x2)1+xdx,2,296,7,calculus,"2,411",2023,"Recently I got interested in Logarithmic Integrals from this ∫10ln4(1−x2)1+xdx and sought out to find Higher Power variations.
Let,
$$I_n=\int_{0}^{1}\frac{\ln^n\..."
"Trying to solve this differential equation, need help [closed]",0,36,-2,ordinary-differential-equations,1,2023,"Math Problem 2
Regarding this question, I am unsure of how to proceed with this as I have barely scratched the topic of method variation of parameters, which does appear to be method which can be used...."
Why does this approximation for binary entropy of cos2(t) hold?,1,68,0,probability,103,2023,"I stumbled on an approximation I found surprising while working on a bipartite entanglement entropy problem (which isn't particularly relevant). Alas, I got the following messy result:
$f(x) = -\cos^2(..."
How to handle the equality constraint that cannot be satisfied?,1,28,0,optimization,1,2023,"Given an optimization problem
min xTMxs.t. Ax=b
where an analytical solution called weighted general inverse exists.
However, we now know that Ax = b some ..."
Confusion regarding order of quantifiers probability,1,27,0,probability,263,2023,"Suppose I have a random variable W that can take values w1,w2,w3 with probability p1,p2,p3 with p1+p2+p3=1 (exhaustive) mutually exclusive.
What is the difference between the ..."
Proving the probability of pairwise independent hash function [closed],0,18,-1,probability,99,2023,"For a prime p we can generate a pairwise independent hash function by choosing a, b independently from
the interval {0, . . . , p − 1} and using ax + b as a random number.
Suppose we generate t
pseudo ..."
Problem regarding using identity theorem,1,64,0,complex-analysis,23,2023,"Is there an Analytic function f(z)≠0 throughout the open unit disc such that f(ninn+1)=0
I tried using identity theorem. But the issue  is that the  sequence ninn+1is ..."
"Determine the extremum if any of f(x,y)=2x4−3x2y+y2.",1,63,2,real-analysis,25,2023,"My work.
f(x,y)=2x4−3x2y+y2. We differentiate partially and find fx=0 and fy=0, which is indeed 0 at (0,0). Now fxx=0, fyy=2 and fxy=0. Since $f_{xx}*f_{..."
"Let V be finite dimensional complex vector space, d:V→V be linear map such that d2=0 and Δ=dd⋆+d⋆d. Prove the following",0,32,0,linear-algebra,282,2023,"Let V be finite dimensional complex vector space, d:V→V be linear map such that d2=0 and Δ=dd⋆+d⋆d, where d⋆ is the adjoint of d. Prove that
(a) $dd^{\star}x=..."
Is it possible to find a coordinate chart associated to a change of basis in the tangent space?,0,27,0,differential-geometry,"2,768",2023,"I am following Lee's Introduction to Smooth Manifolds, but this question is motivated from studying bases of vectors in the context of general relativity. Let M be a smooth n-manifold. In the ..."
Find domain of Y=√⌊x⌋−1+√14−x [closed],3,83,-2,algebra-precalculus,11,2023,"How do I get the domain of
Y=√⌊x⌋−1+√14−x?
I know that ⌊x⌋−1+√14−x>0 and 14−x>0 and the maximum value of of x must be 14...."
how to calculate the integral in Durrett Probability theorem 1.2.6? [duplicate],0,38,1,calculus,11,2023,"I'm trying to calculate the integral in the last row of theorem 1.2.6 of Durrett Probability
To be specific, the integral is
∫∞x(1−3y−4)exp(−y2/2)dy=(x−1−x−3)exp(−x2/2)
..."
Property of skew symmetric matrix [closed],1,40,0,matrices,11,2023,Prove that the determinent of a skew symmetric matrix of even order remains unchanged if the same number is added to all the elements
Finding the distribution for the sum of two identical distributed random variables,1,30,2,probability,"3,842",2023,"Problem:
Let X and  Y be identically distributed independent random variable with
the density function
f(y)={e−tt≥00otherwise
..."
In how many ways can n people be arranged in a row if two specified people are neither of them to be at either extremity of the row?,1,35,0,combinatorics,"1,274",2023,"My interpretation of the question: n people are to be placed in a row, with two specific individuals not allowed to be at the beginning nor the end of this row (they can interchange with each other ..."
"How do I find a constant C, when x=a, through the tangent line? [closed]",1,50,1,calculus,31,2023,"The full question is as follows:
For some constant C, the equation of the tangent line to the graph of
y=f(x) = 4x4+C
at the point where x=a is
y=−78.608x−106.1252
Find C.
My ..."
How many modal logics are there? [closed],0,33,1,modal-logic,No detail available,2023,"How many propositional modal logics exist? Is it a finite number, countably infinite, or continuum-sized? Of course, to answer this question, we would need a definition of a propositional modal logic."
When is F×pk≅Z×m for k>1?,1,389,14,group-theory,149,2023,"Let F×pk denote the group of units of a finite field, and let Z×m denote the group of units modulo some integer m. I'm curious about when $\mathbb{F}_{p^k}^..."
What do brackets mean in maths?,2,301,1,notation,67,2023,"I know that brackets are used to group variables and numbers together.
Do brackets serve the same purpose when they are used with other 'objects' such as matrices or vectors?
For example, when ..."
Constructing a sparse subgraph of original weighted undirected graph with approximation algorithm,2,30,1,graph-theory,173,2023,"In Kruskal's algorithm, we sort edges from least weight to greatest weight and add the edge if and only if both endpoints are in different connected components in current iteration.
Now the question ..."
How is Conway numbering the hyperbolic groups in his Table 18.1?,1,41,-1,group-theory,349,2023,"Conway lists many hyperbolic groups in his Table 18.1 on pages 239-240 of The Symmetries of Things.  Here are scans of those pages:

and

The groups are sorted in decreasing order of their ..."
How to evaluate ∫(π+√xln(x))4ln(2)√x−exsin(x)dx [closed],0,79,-1,calculus,873,2023,"\begin{align*}
&\int \frac{(\pi + \sqrt{x} \ln (x))^{4}}{\ln(2) \sqrt{x - e^{x}\sin(x)}} \, dx \\
&= \int \frac{u^4}{\ln(2) \sqrt{\frac{x}{x - e^{x} \sin(x)}} \cdot \frac{\ln(2)}{2} \sqrt{\..."
Does this optimization algorithm have a name?,0,32,0,optimization,"1,006",2023,"Let a<x<y<b, and suppose that the continuous function f is unimodal (has one weak local maximum) on [a,b]. If f(x)≥f(y), then for any z∈(y,b], we must have f(y)>f(z), ..."
Trace Inequality: prove that for arbitrary square matrix A and B: tr((A+B)(A+B)^T) \leq 2 * tr(AA^T+BB^T),1,87,1,linear-algebra,53,2023,"prove that for arbitrary square matrix A and B:
tr((A+B)(A+B)T)≤2⋅tr(AAT+BBT)

Here is what i did so far:
left side:
tr((A+B)(A+B)T)=tr(AAT)+tr(ABT)+tr(BAT)+tr(BBT)
..."
Equivalence between quadratic maximization problems with equality and inequality constraints,1,41,1,optimization,13,2023,"In the traditional PCA setting, we have the optimization problem formulated as
\begin{align*}
&\underset{\mathbf{x}\in\mathbb{R}^n}{\text{max}}\ \mathbf{x}^T\mathbf{A}\mathbf{x}\\
&\text{s.t.}\..."
Average area of a Polygon [closed],0,37,0,probability,11,2023,"If we choose n points randomly on the Euclidean number plane all with coordinates x and y both between 0 and 1 with a uniform distribution, then create a simple polygon with these points as ..."
"Function that maps (binary representation of) x∈[0,1] to number given by the “even bits” of x",0,56,0,real-analysis,143,2023,"I’m just wondering if there’s a name for the function defined below.

Write x uniquely in base 2 (i.e. not ending in an infinite string of ones) as x=∑∞k=0xk2k. Define $..."
Is there a nonlinear map that preserves the norm but not the inner product? [closed],1,51,-1,linear-algebra,1,2023,"Linear maps between inner product spaces preserve the inner product if they preserve the norm.
What about nonlinear maps?
I can’t come up with a counterexample, nor can I prove it."
"Given a point P, calculate the closest point C on n lines [closed]",0,29,-1,geometry,99,2023,"I'm trying to snap a point to a given route, as defined by a sequence of intervals, and while there are brute force ways to do it, I'm wondering if there is a more efficient algorithm that solves the ..."
Proof on representing the incomplete beta function as a hypergeometric function,0,36,1,hypergeometric-function,157,2023,"The incomplete beta function is defined as
B(x;c,d)=∫x0tc−1(1−t)d−1dt.
The hypergeometric representation  of the incomplete Beta function is given by
\begin{equation}
B\left(x; c,d \..."
Understanding the parameters in Stommel's Two-Box Model (a model of ocean circulation based on temperature and salinity),0,23,1,ordinary-differential-equations,11,2023,"I am trying to wrap my head around Stommel's Two-Box Model of ocean circulation (specifically of the North Atlantic).
The general idea of this model is as follows: Diagram of Stommel's Two-Box Model
$..."
eigenvector of a companion matrix [closed],0,22,-3,matrices,1,2023,"Consider the matrix
$$
A=\begin{bmatrix}
0 & 1 & 0 &\cdots & 0\\
0 & 0 & 1 &\cdots & 0 \\
\vdots&\vdots &\vdots&\ddots&\vdots\\
0 & 0 & 0 &\..."
"Orthonormal Basis in L2[0,5/8]",0,48,1,real-analysis,34,2023,"It is well-known that the Haar wavelet system forms an orthonormal basis for L2[0,1]. I am interested in forming a similar orthonormal basis for L2[0,58]. We write $[0, \frac58] = [0,\..."
Induction involving binomial coefficients (nk),0,38,0,combinatorics,369,2023,"Why, many times, in problems involving binomial coefficients, (nk), that we need induction to prove something, we use induction on k instead on n. Since n limits k, it seems strange ..."
"Examples of ""natural"" combinatorial functions for which it has been proven that there is no closed-form expression",2,56,2,combinatorics,No detail available,2023,"I would be very interested for examples of ""natural"" combinatorial functions for which it has been rigorously proven that there is no closed-from expression. By ""natural"", I mean, ..."
Area of a segment of egg-shaped structure (egg shaped sewer in my case) [closed],0,18,-2,integration,1,2023,"There is an equation to calculate the cross-sectional area of egg shaper sewer when pipe is in full flow condition. When the pipe is partially filled, Can an equation be derived to calculate the area ..."
"∀n∈Z+, Sn is the set of points p with equal distance to the origin as their minimum distance from any point in Sn−1",0,33,0,geometry,873,2023,"Let S0={(1,0)}.
For all positive integers n, Sn is the set of points p with equal distance to the origin as their minimum distance from any point in Sn−1
We need to find the area ..."
